Date,Kau_temp,Kau_max,Kau_min,Kau_dwp,Kau_mx_dwp,Kau_mi_dwp,Kau_pressure,Kau_humidity,Kau_wind,Kau_clouds,Kau_lat,Kau_lon,Kau_ele,Kau_temp_1,Kau_temp_2,Kau_temp_3,Kau_max_1,Kau_max_2,Kau_max_3,Kau_min_1,Kau_min_2,Kau_min_3,Kau_dwp_1,Kau_dwp_2,Kau_dwp_3,Kau_mx_dwp_1,Kau_mx_dwp_2,Kau_mx_dwp_3,Kau_mi_dwp_1,Kau_mi_dwp_2,Kau_mi_dwp_3,Kau_pressure_1,Kau_pressure_2,Kau_pressure_3,Kau_clouds_1,Kau_clouds_2,Kau_clouds_3,Kau_lat_1,Kau_lat_2,Kau_lat_3,Kau_lon_1,Kau_lon_2,Kau_lon_3,Kau_ele_1,Kau_ele_2,Kau_ele_3
2017-01-04,21.375,22.458333333333332,20.541666666666668,16.43333333333334,17.516666666666673,15.600000000000007,1015.5,75.29166666666667,4.583333333333333,70.79166666666667,22.0964396,-159.52612,681,20.625,21.333333333333332,21.125,20.791666666666668,22.25,21.916666666666668,20.0,20.5,20.416666666666668,14.250000000000002,12.975000000000001,13.774999999999999,14.41666666666667,13.891666666666667,14.566666666666665,13.625000000000002,12.141666666666666,13.066666666666668,1015.7916666666666,1015.6666666666666,1016.2083333333334,27.208333333333332,51.291666666666664,61.708333333333336,22.0964396,22.0964396,22.0964396,-159.52612,-159.52612,-159.52612,681.0,681.0,681.0
2017-01-05,20.875,21.541666666666668,19.5,18.43333333333334,19.10000000000001,17.05833333333334,1016.6666666666666,87.79166666666667,3.625,77.91666666666667,22.0964396,-159.52612,681,21.375,20.625,21.333333333333332,22.458333333333332,20.791666666666668,22.25,20.541666666666668,20.0,20.5,16.43333333333334,14.250000000000002,12.975000000000001,17.516666666666673,14.41666666666667,13.891666666666667,15.600000000000007,13.625000000000002,12.141666666666666,1015.5,1015.7916666666666,1015.6666666666666,70.79166666666667,27.208333333333332,51.291666666666664,22.0964396,22.0964396,22.0964396,-159.52612,-159.52612,-159.52612,681.0,681.0,681.0
2017-01-06,20.458333333333332,20.958333333333332,19.416666666666668,15.174999999999999,15.674999999999997,14.133333333333333,1016.4583333333334,73.58333333333333,3.3333333333333335,33.166666666666664,22.0964396,-159.52612,681,20.875,21.375,20.625,21.541666666666668,22.458333333333332,20.791666666666668,19.5,20.541666666666668,20.0,18.43333333333334,16.43333333333334,14.250000000000002,19.10000000000001,17.516666666666673,14.41666666666667,17.05833333333334,15.600000000000007,13.625000000000002,1016.6666666666666,1015.5,1015.7916666666666,77.91666666666667,70.79166666666667,27.208333333333332,22.0964396,22.0964396,22.0964396,-159.52612,-159.52612,-159.52612,681.0,681.0,681.0
2017-01-07,21.125,21.458333333333332,20.291666666666668,14.033333333333333,14.366666666666667,13.200000000000001,1015.9166666666666,64.54166666666667,3.9583333333333335,33.958333333333336,22.0964396,-159.52612,681,20.458333333333332,20.875,21.375,20.958333333333332,21.541666666666668,22.458333333333332,19.416666666666668,19.5,20.541666666666668,15.174999999999999,18.43333333333334,16.43333333333334,15.674999999999997,19.10000000000001,17.516666666666673,14.133333333333333,17.05833333333334,15.600000000000007,1016.4583333333334,1016.6666666666666,1015.5,33.166666666666664,77.91666666666667,70.79166666666667,22.0964396,22.0964396,22.0964396,-159.52612,-159.52612,-159.52612,681.0,681.0,681.0
2017-01-08,20.666666666666668,21.458333333333332,19.708333333333332,14.883333333333333,15.674999999999997,13.924999999999999,1017.625,71.08333333333333,3.75,73.375,22.0964396,-159.52612,681,21.125,20.458333333333332,20.875,21.458333333333332,20.958333333333332,21.541666666666668,20.291666666666668,19.416666666666668,19.5,14.033333333333333,15.174999999999999,18.43333333333334,14.366666666666667,15.674999999999997,19.10000000000001,13.200000000000001,14.133333333333333,17.05833333333334,1015.9166666666666,1016.4583333333334,1016.6666666666666,33.958333333333336,33.166666666666664,77.91666666666667,22.0964396,22.0964396,22.0964396,-159.52612,-159.52612,-159.52612,681.0,681.0,681.0
2017-01-09,21.041666666666668,21.416666666666668,20.208333333333332,14.983333333333333,15.358333333333333,14.15,1017.5416666666666,69.70833333333333,2.9166666666666665,16.0,22.0964396,-159.52612,681,20.666666666666668,21.125,20.458333333333332,21.458333333333332,21.458333333333332,20.958333333333332,19.708333333333332,20.291666666666668,19.416666666666668,14.883333333333333,14.033333333333333,15.174999999999999,15.674999999999997,14.366666666666667,15.674999999999997,13.924999999999999,13.200000000000001,14.133333333333333,1017.625,1015.9166666666666,1016.4583333333334,73.375,33.958333333333336,33.166666666666664,22.0964396,22.0964396,22.0964396,-159.52612,-159.52612,-159.52612,681.0,681.0,681.0
2017-01-10,21.916666666666668,22.291666666666668,21.666666666666668,17.383333333333336,17.758333333333336,17.133333333333336,1018.125,77.33333333333333,3.125,53.041666666666664,22.0964396,-159.52612,681,21.041666666666668,20.666666666666668,21.125,21.416666666666668,21.458333333333332,21.458333333333332,20.208333333333332,19.708333333333332,20.291666666666668,14.983333333333333,14.883333333333333,14.033333333333333,15.358333333333333,15.674999999999997,14.366666666666667,14.15,13.924999999999999,13.200000000000001,1017.5416666666666,1017.625,1015.9166666666666,16.0,73.375,33.958333333333336,22.0964396,22.0964396,22.0964396,-159.52612,-159.52612,-159.52612,681.0,681.0,681.0
2017-01-11,22.583333333333332,23.208333333333332,21.625,18.200000000000006,18.825000000000006,17.24166666666667,1017.5,78.08333333333333,2.875,28.125,22.0964396,-159.52612,681,21.916666666666668,21.041666666666668,20.666666666666668,22.291666666666668,21.416666666666668,21.458333333333332,21.666666666666668,20.208333333333332,19.708333333333332,17.383333333333336,14.983333333333333,14.883333333333333,17.758333333333336,15.358333333333333,15.674999999999997,17.133333333333336,14.15,13.924999999999999,1018.125,1017.5416666666666,1017.625,53.041666666666664,16.0,73.375,22.0964396,22.0964396,22.0964396,-159.52612,-159.52612,-159.52612,681.0,681.0,681.0
2017-01-12,25.0,25.166666666666668,24.375,20.90000000000001,21.066666666666674,20.27500000000001,1017.7083333333334,79.5,3.5833333333333335,56.583333333333336,22.0964396,-159.52612,681,22.583333333333332,21.916666666666668,21.041666666666668,23.208333333333332,22.291666666666668,21.416666666666668,21.625,21.666666666666668,20.208333333333332,18.200000000000006,17.383333333333336,14.983333333333333,18.825000000000006,17.758333333333336,15.358333333333333,17.24166666666667,17.133333333333336,14.15,1017.5,1018.125,1017.5416666666666,28.125,53.041666666666664,16.0,22.0964396,22.0964396,22.0964396,-159.52612,-159.52612,-159.52612,681.0,681.0,681.0
2017-01-13,23.75,24.0,22.916666666666668,19.866666666666674,20.116666666666674,19.033333333333342,1017.4583333333334,80.58333333333333,2.5,23.708333333333332,22.0964396,-159.52612,681,25.0,22.583333333333332,21.916666666666668,25.166666666666668,23.208333333333332,22.291666666666668,24.375,21.625,21.666666666666668,20.90000000000001,18.200000000000006,17.383333333333336,21.066666666666674,18.825000000000006,17.758333333333336,20.27500000000001,17.24166666666667,17.133333333333336,1017.7083333333334,1017.5,1018.125,56.583333333333336,28.125,53.041666666666664,22.0964396,22.0964396,22.0964396,-159.52612,-159.52612,-159.52612,681.0,681.0,681.0
